                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	6.3000000000E+01	1.8000000000E+02	1.3780862003E-02	2.5237033220E-01	-2.5200338601E-01	-3.1309664754E+04	-6.5481537728E+04	2.4898100000E+01	-6.3604419345E-05	-1.5422044008E-03	1.4784820354E-03	-1.0803442665E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	6.7000000000E+01	1.8000000000E+02	1.3717257584E-02	2.5082812780E-01	-2.5052490397E-01	-3.1320468196E+04	-6.5481537728E+04	2.8951500000E+01	-2.0743382575E-05	-1.0728643728E-04	9.8993033905E-05	-9.4912650644E+00
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	7.1000000000E+01	1.8000000000E+02	1.3696514201E-02	2.5072084137E-01	-2.5042591094E-01	-3.1329959461E+04	-6.5481537728E+04	3.4236100000E+01	4.0178297112E-05	2.9874321588E-03	-3.0071764315E-03	-1.2482822439E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	7.5000000000E+01	1.8000000000E+02	1.3736692499E-02	2.5370827352E-01	-2.5343308737E-01	-3.1342442284E+04	-6.5481537728E+04	4.0537500000E+01	1.5791162392E-05	2.4329273167E-03	-2.4343678886E-03	-1.3466945280E+01
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	7.9000000000E+01	1.8000000000E+02	1.3752483661E-02	2.5614120084E-01	-2.5586745526E-01	-3.1355909229E+04	-6.5481537728E+04	4.6349600000E+01	3.3554519127E-06	1.8304002673E-03	-1.8230563960E-03	-8.5901849253E+00
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	8.3000000000E+01	1.8000000000E+02	1.3755839113E-02	2.5797160111E-01	-2.5769051165E-01	-3.1364499414E+04	-6.5481537728E+04	5.4584900000E+01	-1.7310636217E-05	-4.4876884837E-04	4.4399863800E-04	-2.0394898433E+00
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	8.7000000000E+01	1.8000000000E+02	1.3738528477E-02	2.5752283226E-01	-2.5724651302E-01	-3.1366538904E+04	-6.5481537728E+04	6.2191100000E+01	-1.8572910592E-05	-1.5360706169E-03	1.5246629508E-03	2.9571806153E+00
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	9.1000000000E+01	1.8000000000E+02	1.3719955566E-02	2.5598676164E-01	-2.5572185006E-01	-3.1363581723E+04	-6.5481537728E+04	7.0457000000E+01	1.0947037876E-07	-7.8016425846E-04	7.7545017957E-04	3.5355078656E+00
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	9.5000000000E+01	1.8000000000E+02	1.3720065036E-02	2.5520659738E-01	-2.5494639988E-01	-3.1360046215E+04	-6.5481537728E+04	8.0777500000E+01	1.2198769310E-05	2.7457391283E-04	-2.8118168025E-04	1.5104495005E+00
1.0000000000E-05	3.0000000000E-04	1.9000000000E+01	9.9000000000E+01	1.8000000000E+02	1.3732263806E-02	2.5548117130E-01	-2.5522758157E-01	-3.1358535766E+04	-6.5481537728E+04	8.9511600000E+01	6.6252883511E-06	4.3535372411E-04	-4.3873111569E-04	-2.4340996218E-01
