                        s                     iota                   psi(s)                  psi'(s)             B_theta_s(s)              B_zeta_s(s)
   0.7714285714285722E+00   0.9324334382696390E+00  -0.1469571428571430E+01   0.3031901665900610E+00  -0.1084202172485504E-17  -0.1408758027832970E+02
   0.7785714285714278E+00   0.9334349000958410E+00  -0.1483178571428570E+01   0.3031901665900610E+00  -0.6516055056637882E-16  -0.1408758027833430E+02
   0.7857142857142835E+00   0.9344392572826929E+00  -0.1496785714285710E+01   0.3031901665900610E+00  -0.7025630077706069E-16  -0.1408758027831110E+02
   0.7928571428571444E+00   0.9354464025883780E+00  -0.1510392857142860E+01   0.3031901665900610E+00   0.2406928822917820E-16  -0.1408758027831400E+02
   0.8000000000000000E+00   0.9364562148463150E+00  -0.1524000000000000E+01   0.3031901665900610E+00  -0.1175275154974287E-15  -0.1408758027834750E+02
   0.8071428571428557E+00   0.9374685721389550E+00  -0.1537607142857140E+01   0.3031901665900610E+00   0.2656295322589486E-16  -0.1408758027832270E+02
   0.8142857142857113E+00   0.9384833447171950E+00  -0.1551214285714280E+01   0.3031901665900610E+00  -0.8174884380540703E-16  -0.1408758027833280E+02
   0.8214285714285722E+00   0.9395004020654451E+00  -0.1564821428571430E+01   0.3031901665900610E+00  -0.3741581697247476E-15  -0.1408758027834300E+02
   0.8285714285714277E+00   0.9405196112246030E+00  -0.1578428571428570E+01   0.3031901665900610E+00   0.3404394821604484E-16  -0.1408758027829180E+02
   0.8357142857142834E+00   0.9415408405992800E+00  -0.1592035714285710E+01   0.3031901665900610E+00  -0.1045170894276026E-15  -0.1408758027825590E+02
   0.8428571428571444E+00   0.9425639358226749E+00  -0.1605642857142860E+01   0.3031901665900610E+00  -0.1360673726469308E-15  -0.1408758027825970E+02
   0.8500000000000000E+00   0.9435887444657620E+00  -0.1619250000000000E+01   0.3031901665900610E+00   0.2569559148790646E-16  -0.1408758027826350E+02
   0.8571428571428555E+00   0.9446151087249079E+00  -0.1632857142857140E+01   0.3031901665900610E+00   0.8012254054667878E-16  -0.1408758027824380E+02
   0.8642857142857164E+00   0.9456428757300800E+00  -0.1646464285714290E+01   0.3031901665900610E+00  -0.2557632924893305E-15  -0.1408758027824380E+02
   0.8714285714285721E+00   0.9466718729898920E+00  -0.1660071428571430E+01   0.3031901665900610E+00  -0.8727827488508311E-16  -0.1408758027826660E+02
   0.8785714285714278E+00   0.9477019087428959E+00  -0.1673678571428570E+01   0.3031901665900610E+00  -0.8315830662963819E-16  -0.1408758027822500E+02
   0.8857142857142835E+00   0.9487327704139850E+00  -0.1687285714285710E+01   0.3031901665900610E+00   0.4011548038196366E-17  -0.1408758027819270E+02
   0.8928571428571443E+00   0.9497642776529890E+00  -0.1700892857142860E+01   0.3031901665900610E+00   0.7209944447028604E-16  -0.1408758027818960E+02
   0.8999999999999999E+00   0.9507962371409030E+00  -0.1714500000000000E+01   0.3031901665900610E+00   0.2710505431213761E-16  -0.1408758027822480E+02
   0.9071428571428556E+00   0.9518284030401361E+00  -0.1728107142857140E+01   0.3031901665900610E+00   0.1536314478411960E-15  -0.1408758027822100E+02
   0.9142857142857165E+00   0.9528605218461110E+00  -0.1741714285714290E+01   0.3031901665900610E+00   0.1735807678149293E-15  -0.1408758027823350E+02
   0.9214285714285722E+00   0.9538923311353810E+00  -0.1755321428571430E+01   0.3031901665900610E+00  -0.2984808580852594E-15  -0.1408758027822680E+02
   0.9285714285714278E+00   0.9549235586656640E+00  -0.1768928571428570E+01   0.3031901665900610E+00   0.2287666583944414E-16  -0.1408758027820470E+02
   0.9357142857142834E+00   0.9559539045934320E+00  -0.1782535714285710E+01   0.3031901665900610E+00   0.9822871682718670E-16  -0.1408758027824350E+02
   0.9428571428571443E+00   0.9569830527761820E+00  -0.1796142857142860E+01   0.3031901665900610E+00   0.7415942859800850E-16  -0.1408758027826640E+02
   0.9500000000000000E+00   0.9580106489408630E+00  -0.1809750000000000E+01   0.3031901665900610E+00  -0.2154309716728697E-15  -0.1408758027826430E+02
   0.9571428571428556E+00   0.9590362928402960E+00  -0.1823357142857140E+01   0.3031901665900610E+00  -0.8229094489164979E-16  -0.1408758027830900E+02
   0.9642857142857165E+00   0.9600595555819870E+00  -0.1836964285714290E+01   0.3031901665900610E+00   0.1540651287101902E-15  -0.1408758027831440E+02
   0.9714285714285722E+00   0.9610799658499540E+00  -0.1850571428571430E+01   0.3031901665900610E+00  -0.2049142105997603E-15  -0.1408758027828940E+02
   0.9785714285714278E+00   0.9620971136643270E+00  -0.1864178571428570E+01   0.3031901665900610E+00  -0.3046608104684267E-16  -0.1408758027827810E+02
   0.9857142857142887E+00   0.9631105114039730E+00  -0.1877785714285720E+01   0.3031901665900610E+00   0.1077696959450591E-15  -0.1408758027827110E+02
   0.9928571428571443E+00   0.9641214368970850E+00  -0.1891392857142860E+01   0.3031901665900610E+00   0.8890457814381136E-17  -0.1408758027820950E+02
   0.1000000000000000E+01   0.9651335821863340E+00  -0.1905000000000000E+01   0.3031901665900610E+00   0.5659535340374333E-16  -0.1408758027838230E+02
